Stage number;Healthy human number;Infected human number;Medical human number;Cure number;New recovered number;New infected number
0;200;5;20;20;0;0
1;201;4;20;20;1;0
2;201;4;20;20;1;1
3;199;6;20;20;0;2
4;198;7;20;20;0;1
5;194;11;20;20;0;4
6;193;12;20;20;0;1
7;192;13;20;20;0;1
8;192;13;20;20;0;0
9;191;14;20;19;1;2
10;192;13;20;19;1;0
11;192;13;20;18;1;1
12;190;15;20;17;2;4
13;188;17;20;17;1;3
14;189;16;20;16;2;1
15;189;16;20;16;0;0
16;189;16;20;16;0;0
17;187;18;20;16;0;2
18;187;18;20;15;1;1
19;188;17;20;14;1;0
20;186;19;20;14;0;2
21;186;19;20;14;2;2
22;184;21;20;14;0;2
23;182;23;20;14;0;2
24;179;26;20;14;0;3
25;180;25;20;14;1;0
26;180;25;20;14;0;0
27;178;27;20;14;0;2
28;178;27;20;14;1;1
29;177;28;20;14;0;1
30;176;29;20;14;1;2
31;177;28;20;14;1;0
32;175;30;20;14;0;2
33;175;30;20;14;1;1
34;174;31;20;14;0;1
35;168;37;20;14;1;7
36;169;36;20;14;2;1
37;168;37;20;13;1;2
38;167;38;20;13;0;1
39;168;37;20;12;3;2
40;164;41;20;12;0;4
41;163;42;20;12;0;1
42;164;41;20;12;3;2
43;164;41;20;12;1;1
44;163;42;20;12;0;1
45;162;43;20;12;1;2
46;162;43;20;11;2;2
47;161;44;20;11;0;1
48;159;46;20;11;0;2
49;157;48;20;11;0;2
50;156;49;20;11;0;1
51;155;50;20;11;0;1
52;155;50;20;10;2;2
53;154;51;20;10;0;1
54;155;50;20;9;1;0
55;156;49;20;9;2;1
56;156;49;20;9;1;1
57;157;48;20;9;2;1
58;155;50;20;9;0;2
59;156;49;20;9;1;0
60;154;51;20;8;3;5
61;150;55;20;8;1;5
62;149;56;20;8;2;3
63;149;56;20;8;2;2
64;147;58;20;8;0;2
65;147;58;20;8;1;1
66;144;61;20;8;1;4
67;143;62;20;8;1;2
68;140;65;20;8;2;5
69;140;65;20;8;2;2
70;138;67;20;8;1;3
71;135;70;20;8;1;4
72;135;70;20;8;1;1
73;135;70;20;8;0;0
74;133;72;20;8;0;2
75;132;73;20;8;0;1
76;133;72;20;8;3;2
77;131;74;20;8;1;3
78;125;80;20;8;0;6
79;120;85;20;7;1;6
80;117;88;20;7;0;3
81;118;87;20;7;1;0
82;119;86;20;7;3;2
83;120;85;20;7;1;0
84;117;88;20;7;0;3
85;113;92;20;7;0;4
86;113;92;20;7;1;1
87;110;95;20;7;0;3
88;107;98;20;7;0;3
89;105;100;20;7;1;3
90;105;100;20;6;2;2
91;105;100;20;6;0;0
92;106;99;20;4;3;2
93;105;100;20;4;1;2
94;106;99;20;4;1;0
95;105;100;20;4;0;1
96;108;97;20;4;3;0
97;107;98;20;4;0;1
98;104;101;20;4;0;3
99;101;104;20;4;0;3
100;99;106;20;4;1;3
